Latitude,Longitude,Crash Death Count,Crash Month,Crash Possible Injury Count,Crash Severity,Crash Suspected Serious Injury Count,Crash Time,Crash Total Injury Count,Crash Year,Day of Week,Manner of Collision,Street Name,Street Number,Surface Condition,Surface Type,Surface Width,Weather Condition,Person Age,Person Death Count,Person Ethnicity,Person Total Injury Count,Person Type,Physical Location of An Occupant,Crash ID,Crash Date
No Data,No Data,0,1,0,B - SUSPECTED MINOR INJURY,0,805,1,2018,THURSDAY,ONE MOTOR VEHICLE - BACKING,SANDHILL CRANE DR,NO DATA,1 - DRY,No Data,No Data,1 - CLEAR,43,0,H - HISPANIC,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16188467,1/4/2018
30.05853474,-95.21814311,0,1,1,C - POSSIBLE INJURY,0,2000,1,2018,FRIDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,SHADOW ROCK DR,2098,1 - DRY,No Data,No Data,1 - CLEAR,39,0,W - WHITE,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16183429,1/5/2018
30.05853474,-95.21814311,0,1,1,C - POSSIBLE INJURY,0,2000,1,2018,FRIDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,SHADOW ROCK DR,2098,1 - DRY,No Data,No Data,1 - CLEAR,39,0,W - WHITE,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16183429,1/5/2018
No Data,No Data,0,1,0,B - SUSPECTED MINOR INJURY,0,910,1,2018,FRIDAY,ONE MOTOR VEHICLE - BACKING,SKYLINE DR,NO DATA,1 - DRY,No Data,No Data,1 - CLEAR,34,0,H - HISPANIC,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16193381,1/5/2018
No Data,No Data,0,1,0,B - SUSPECTED MINOR INJURY,0,910,1,2018,FRIDAY,ONE MOTOR VEHICLE - BACKING,SKYLINE DR,NO DATA,1 - DRY,No Data,No Data,1 - CLEAR,36,0,H - HISPANIC,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16193381,1/5/2018
29.73015481,-95.36719309,0,1,0,A - SUSPECTED SERIOUS INJURY,1,237,1,2018,FRIDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,ALABAMA ST,2500,1 - DRY,No Data,No Data,1 - CLEAR,43,0,B - BLACK,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16194725,1/5/2018
29.73015481,-95.36719309,0,1,0,A - SUSPECTED SERIOUS INJURY,1,237,1,2018,FRIDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,ALABAMA ST,2500,1 - DRY,No Data,No Data,1 - CLEAR,61,0,B - BLACK,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16194725,1/5/2018
29.74016556,-95.28710102,0,1,0,B - SUSPECTED MINOR INJURY,0,2140,1,2018,SUNDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,NAVIGATION BLVD,7581,2 - WET,No Data,No Data,3 - RAIN,No Data,0,99 - UNKNOWN,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16189026,1/7/2018
29.74016556,-95.28710102,0,1,0,B - SUSPECTED MINOR INJURY,0,2140,1,2018,SUNDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,NAVIGATION BLVD,7581,2 - WET,No Data,No Data,3 - RAIN,57,0,H - HISPANIC,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16189026,1/7/2018
29.68808482,-95.57463305,0,1,0,A - SUSPECTED SERIOUS INJURY,1,2023,1,2018,SUNDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,BEECHNUT ST,11200,2 - WET,No Data,No Data,3 - RAIN,28,0,A - ASIAN,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16195448,1/7/2018
29.68808482,-95.57463305,0,1,0,A - SUSPECTED SERIOUS INJURY,1,2023,1,2018,SUNDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,BEECHNUT ST,11200,2 - WET,No Data,No Data,3 - RAIN,23,0,A - ASIAN,0,2 - PASSENGER/OCCUPANT,3 - FRONT RIGHT,16195448,1/7/2018
29.68808482,-95.57463305,0,1,0,A - SUSPECTED SERIOUS INJURY,1,2023,1,2018,SUNDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,BEECHNUT ST,11200,2 - WET,No Data,No Data,3 - RAIN,24,0,H - HISPANIC,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16195448,1/7/2018
29.72791481,-95.3498831,0,1,0,A - SUSPECTED SERIOUS INJURY,1,2210,1,2018,SUNDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,SCOTT ST,NO DATA,2 - WET,No Data,No Data,3 - RAIN,25,0,B - BLACK,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16196335,1/7/2018
29.72791481,-95.3498831,0,1,0,A - SUSPECTED SERIOUS INJURY,1,2210,1,2018,SUNDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,SCOTT ST,NO DATA,2 - WET,No Data,No Data,3 - RAIN,45,0,B - BLACK,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16196335,1/7/2018
29.82755652,-95.47745944,1,1,0,K - FATAL INJURY,0,641,0,2018,SUNDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,US0290,NO DATA,1 - DRY,No Data,110,1 - CLEAR,55,0,W - WHITE,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16203669,1/7/2018
29.82755652,-95.47745944,1,1,0,K - FATAL INJURY,0,641,0,2018,SUNDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,US0290,NO DATA,1 - DRY,No Data,110,1 - CLEAR,38,1,98 - OTHER,0,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16203669,1/7/2018
29.72796778,-95.50124994,0,1,0,B - SUSPECTED MINOR INJURY,0,715,1,2018,MONDAY,ONE MOTOR VEHICLE - BACKING,HILLCROFT AVE,NO DATA,1 - DRY,No Data,No Data,1 - CLEAR,No Data,0,99 - UNKNOWN,0,1 - DRIVER,99 - UNKNOWN,16193371,1/8/2018
29.72796778,-95.50124994,0,1,0,B - SUSPECTED MINOR INJURY,0,715,1,2018,MONDAY,ONE MOTOR VEHICLE - BACKING,HILLCROFT AVE,NO DATA,1 - DRY,No Data,No Data,1 - CLEAR,16,0,B - BLACK,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16193371,1/8/2018
29.85681222,-95.39166979,0,1,0,B - SUSPECTED MINOR INJURY,0,1825,1,2018,MONDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,SUNNYSIDE ST,551,1 - DRY,No Data,No Data,1 - CLEAR,29,0,H - HISPANIC,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16217572,1/8/2018
29.85681222,-95.39166979,0,1,0,B - SUSPECTED MINOR INJURY,0,1825,1,2018,MONDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,SUNNYSIDE ST,551,1 - DRY,No Data,No Data,1 - CLEAR,41,0,H - HISPANIC,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16217572,1/8/2018
No Data,No Data,0,1,0,N - NOT INJURED,0,1850,0,2018,TUESDAY,ONE MOTOR VEHICLE - BACKING,CULLEN BLVD,NO DATA,1 - DRY,No Data,No Data,1 - CLEAR,No Data,0,B - BLACK,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16212106,1/9/2018
No Data,No Data,0,1,0,N - NOT INJURED,0,1850,0,2018,TUESDAY,ONE MOTOR VEHICLE - BACKING,CULLEN BLVD,NO DATA,1 - DRY,No Data,No Data,1 - CLEAR,0,0,B - BLACK,0,2 - PASSENGER/OCCUPANT,3 - FRONT RIGHT,16212106,1/9/2018
No Data,No Data,0,1,0,N - NOT INJURED,0,1850,0,2018,TUESDAY,ONE MOTOR VEHICLE - BACKING,CULLEN BLVD,NO DATA,1 - DRY,No Data,No Data,1 - CLEAR,0,0,B - BLACK,0,2 - PASSENGER/OCCUPANT,4 - SECOND SEAT LEFT OR MOTORCYCLE BACK PASSENGER,16212106,1/9/2018
No Data,No Data,0,1,0,N - NOT INJURED,0,1850,0,2018,TUESDAY,ONE MOTOR VEHICLE - BACKING,CULLEN BLVD,NO DATA,1 - DRY,No Data,No Data,1 - CLEAR,0,0,B - BLACK,0,2 - PASSENGER/OCCUPANT,6 - SECOND SEAT RIGHT,16212106,1/9/2018
No Data,No Data,0,1,0,N - NOT INJURED,0,1850,0,2018,TUESDAY,ONE MOTOR VEHICLE - BACKING,CULLEN BLVD,NO DATA,1 - DRY,No Data,No Data,1 - CLEAR,39,0,B - BLACK,0,2 - PASSENGER/OCCUPANT,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16212106,1/9/2018
No Data,No Data,0,1,0,N - NOT INJURED,0,1850,0,2018,TUESDAY,ONE MOTOR VEHICLE - BACKING,CULLEN BLVD,NO DATA,1 - DRY,No Data,No Data,1 - CLEAR,26,0,B - BLACK,0,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16212106,1/9/2018
29.79638754,-95.38054688,0,1,0,A - SUSPECTED SERIOUS INJURY,1,200,1,2018,TUESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,N MAIN ST,4564,99 - UNKNOWN,No Data,No Data,99 - UNKNOWN,No Data,0,99 - UNKNOWN,0,1 - DRIVER,99 - UNKNOWN,16656274,1/9/2018
29.79638754,-95.38054688,0,1,0,A - SUSPECTED SERIOUS INJURY,1,200,1,2018,TUESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,N MAIN ST,4564,99 - UNKNOWN,No Data,No Data,99 - UNKNOWN,44,0,H - HISPANIC,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16656274,1/9/2018
29.7807348,-95.36394309,0,1,0,B - SUSPECTED MINOR INJURY,0,800,1,2018,TUESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,QUITMAN ST,598,1 - DRY,No Data,No Data,1 - CLEAR,54,0,W - WHITE,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16691428,1/9/2018
29.7807348,-95.36394309,0,1,0,B - SUSPECTED MINOR INJURY,0,800,1,2018,TUESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,QUITMAN ST,598,1 - DRY,No Data,No Data,1 - CLEAR,44,0,H - HISPANIC,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16691428,1/9/2018
29.66943604,-95.35725285,0,1,0,B - SUSPECTED MINOR INJURY,0,755,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,BELLFORT ST,NO DATA,2 - WET,No Data,No Data,2 - CLOUDY,No Data,0,H - HISPANIC,0,1 - DRIVER,99 - UNKNOWN,16190080,1/10/2018
29.66943604,-95.35725285,0,1,0,B - SUSPECTED MINOR INJURY,0,755,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,BELLFORT ST,NO DATA,2 - WET,No Data,No Data,2 - CLOUDY,46,0,W - WHITE,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16190080,1/10/2018
29.75995369,-95.35870233,0,1,1,C - POSSIBLE INJURY,0,1300,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - TURNING RIGHT,CAROLINE ST,402,1 - DRY,No Data,No Data,2 - CLOUDY,51,0,B - BLACK,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16191303,1/10/2018
29.75995369,-95.35870233,0,1,1,C - POSSIBLE INJURY,0,1300,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - TURNING RIGHT,CAROLINE ST,402,1 - DRY,No Data,No Data,2 - CLOUDY,57,0,W - WHITE,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16191303,1/10/2018
29.75467481,-95.49766306,0,1,0,B - SUSPECTED MINOR INJURY,0,1100,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,WINROCK BLVD,NO DATA,1 - DRY,No Data,No Data,2 - CLOUDY,43,0,B - BLACK,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16193344,1/10/2018
29.75467481,-95.49766306,0,1,0,B - SUSPECTED MINOR INJURY,0,1100,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,WINROCK BLVD,NO DATA,1 - DRY,No Data,No Data,2 - CLOUDY,40,0,H - HISPANIC,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16193344,1/10/2018
29.66283483,-95.52799532,0,1,1,C - POSSIBLE INJURY,0,715,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,WESTBRAE PKWY,NO DATA,1 - DRY,No Data,No Data,2 - CLOUDY,No Data,0,B - BLACK,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16197104,1/10/2018
29.66283483,-95.52799532,0,1,1,C - POSSIBLE INJURY,0,715,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,WESTBRAE PKWY,NO DATA,1 - DRY,No Data,No Data,2 - CLOUDY,14,0,B - BLACK,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16197104,1/10/2018
29.67502483,-95.55365304,0,1,0,B - SUSPECTED MINOR INJURY,0,1415,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - TURNING LEFT,BISSONNET ST,10001,1 - DRY,No Data,No Data,2 - CLOUDY,No Data,0,99 - UNKNOWN,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16216621,1/10/2018
29.67502483,-95.55365304,0,1,0,B - SUSPECTED MINOR INJURY,0,1415,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - TURNING LEFT,BISSONNET ST,10001,1 - DRY,No Data,No Data,2 - CLOUDY,63,0,B - BLACK,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16216621,1/10/2018
29.77043745,-95.2155659,0,1,1,C - POSSIBLE INJURY,0,1150,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - TURNING RIGHT,IH0010,NO DATA,1 - DRY,No Data,96,1 - CLEAR,No Data,0,99 - UNKNOWN,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16230724,1/10/2018
29.77043745,-95.2155659,0,1,1,C - POSSIBLE INJURY,0,1150,1,2018,WEDNESDAY,ONE MOTOR VEHICLE - TURNING RIGHT,IH0010,NO DATA,1 - DRY,No Data,96,1 - CLEAR,29,0,B - BLACK,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16230724,1/10/2018
29.61817483,-95.21336314,0,1,3,C - POSSIBLE INJURY,0,1602,3,2018,THURSDAY,ANGLE - BOTH GOING STRAIGHT,FUQUA ST,11650,1 - DRY,No Data,No Data,1 - CLEAR,17,0,A - ASIAN,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16195201,1/11/2018
29.61817483,-95.21336314,0,1,3,C - POSSIBLE INJURY,0,1602,3,2018,THURSDAY,ANGLE - BOTH GOING STRAIGHT,FUQUA ST,11650,1 - DRY,No Data,No Data,1 - CLEAR,15,0,A - ASIAN,1,2 - PASSENGER/OCCUPANT,3 - FRONT RIGHT,16195201,1/11/2018
29.61817483,-95.21336314,0,1,3,C - POSSIBLE INJURY,0,1602,3,2018,THURSDAY,ANGLE - BOTH GOING STRAIGHT,FUQUA ST,11650,1 - DRY,No Data,No Data,1 - CLEAR,15,0,A - ASIAN,1,2 - PASSENGER/OCCUPANT,5 - SECOND SEAT CENTER,16195201,1/11/2018
29.61817483,-95.21336314,0,1,3,C - POSSIBLE INJURY,0,1602,3,2018,THURSDAY,ANGLE - BOTH GOING STRAIGHT,FUQUA ST,11650,1 - DRY,No Data,No Data,1 - CLEAR,27,0,H - HISPANIC,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16195201,1/11/2018
29.61817483,-95.21336314,0,1,3,C - POSSIBLE INJURY,0,1602,3,2018,THURSDAY,ANGLE - BOTH GOING STRAIGHT,FUQUA ST,11650,1 - DRY,No Data,No Data,1 - CLEAR,26,0,H - HISPANIC,0,2 - PASSENGER/OCCUPANT,3 - FRONT RIGHT,16195201,1/11/2018
29.61817483,-95.21336314,0,1,3,C - POSSIBLE INJURY,0,1602,3,2018,THURSDAY,ANGLE - BOTH GOING STRAIGHT,FUQUA ST,11650,1 - DRY,No Data,No Data,1 - CLEAR,4,0,H - HISPANIC,0,2 - PASSENGER/OCCUPANT,7 - THIRD SEAT LEFT,16195201,1/11/2018
29.61817483,-95.21336314,0,1,3,C - POSSIBLE INJURY,0,1602,3,2018,THURSDAY,ANGLE - BOTH GOING STRAIGHT,FUQUA ST,11650,1 - DRY,No Data,No Data,1 - CLEAR,3,0,H - HISPANIC,0,2 - PASSENGER/OCCUPANT,6 - SECOND SEAT RIGHT,16195201,1/11/2018
29.61817483,-95.21336314,0,1,3,C - POSSIBLE INJURY,0,1602,3,2018,THURSDAY,ANGLE - BOTH GOING STRAIGHT,FUQUA ST,11650,1 - DRY,No Data,No Data,1 - CLEAR,31,0,W - WHITE,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16195201,1/11/2018
No Data,No Data,0,1,0,B - SUSPECTED MINOR INJURY,0,820,1,2018,THURSDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,CULLEN BLVD,NO DATA,1 - DRY,No Data,No Data,2 - CLOUDY,78,0,B - BLACK,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16196605,1/11/2018
No Data,No Data,0,1,0,B - SUSPECTED MINOR INJURY,0,820,1,2018,THURSDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,CULLEN BLVD,NO DATA,1 - DRY,No Data,No Data,2 - CLOUDY,66,0,B - BLACK,0,2 - PASSENGER/OCCUPANT,3 - FRONT RIGHT,16196605,1/11/2018
No Data,No Data,0,1,0,B - SUSPECTED MINOR INJURY,0,820,1,2018,THURSDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,CULLEN BLVD,NO DATA,1 - DRY,No Data,No Data,2 - CLOUDY,34,0,B - BLACK,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16196605,1/11/2018
No Data,No Data,0,1,0,A - SUSPECTED SERIOUS INJURY,1,16,1,2018,THURSDAY,ONE MOTOR VEHICLE - BACKING,SH0006,NO DATA,99 - UNKNOWN,No Data,No Data,99 - UNKNOWN,No Data,0,W - WHITE,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16197436,1/11/2018
No Data,No Data,0,1,0,A - SUSPECTED SERIOUS INJURY,1,16,1,2018,THURSDAY,ONE MOTOR VEHICLE - BACKING,SH0006,NO DATA,99 - UNKNOWN,No Data,No Data,99 - UNKNOWN,49,0,W - WHITE,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16197436,1/11/2018
29.69534481,-95.30029311,0,1,0,B - SUSPECTED MINOR INJURY,0,1948,1,2018,THURSDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,TELEPHONE RD,4600,1 - DRY,No Data,No Data,8 - SEVERE CROSSWINDS,53,0,H - HISPANIC,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16199016,1/11/2018
29.69534481,-95.30029311,0,1,0,B - SUSPECTED MINOR INJURY,0,1948,1,2018,THURSDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,TELEPHONE RD,4600,1 - DRY,No Data,No Data,8 - SEVERE CROSSWINDS,42,0,W - WHITE,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16199016,1/11/2018
29.75028481,-95.46134307,0,1,1,C - POSSIBLE INJURY,0,2037,1,2018,THURSDAY,ONE MOTOR VEHICLE - TURNING RIGHT,SAN FELIPE ST,NO DATA,1 - DRY,No Data,No Data,2 - CLOUDY,42,0,W - WHITE,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16212085,1/11/2018
29.75028481,-95.46134307,0,1,1,C - POSSIBLE INJURY,0,2037,1,2018,THURSDAY,ONE MOTOR VEHICLE - TURNING RIGHT,SAN FELIPE ST,NO DATA,1 - DRY,No Data,No Data,2 - CLOUDY,19,0,B - BLACK,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16212085,1/11/2018
29.65594483,-95.50832534,0,1,1,C - POSSIBLE INJURY,0,1610,1,2018,THURSDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,W BELLFORT ST,6696,2 - WET,No Data,No Data,3 - RAIN,24,0,H - HISPANIC,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16212116,1/11/2018
29.65594483,-95.50832534,0,1,1,C - POSSIBLE INJURY,0,1610,1,2018,THURSDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,W BELLFORT ST,6696,2 - WET,No Data,No Data,3 - RAIN,60,0,B - BLACK,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16212116,1/11/2018
29.73087481,-95.38431309,0,1,1,C - POSSIBLE INJURY,0,1210,1,2018,THURSDAY,ONE MOTOR VEHICLE - TURNING RIGHT,FANNIN ST,4799,2 - WET,No Data,No Data,3 - RAIN,No Data,0,99 - UNKNOWN,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16219761,1/11/2018
29.73087481,-95.38431309,0,1,1,C - POSSIBLE INJURY,0,1210,1,2018,THURSDAY,ONE MOTOR VEHICLE - TURNING RIGHT,FANNIN ST,4799,2 - WET,No Data,No Data,3 - RAIN,19,0,H - HISPANIC,1,4 - PEDESTRIAN,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE",16219761,1/11/2018
29.77427738,-95.31555305,1,1,0,K - FATAL INJURY,0,1651,0,2018,THURSDAY,ONE MOTOR VEHICLE - GOING STRAIGHT,IH0010,NO DATA,2 - WET,No Data,96,3 - RAIN,33,0,H - HISPANIC,0,1 - DRIVER,1 - FRONT LEFT OR MOTORCYCLE DRIVER,16264264,1/11/2018
